순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
1,A005930,삼성전자,KOSPI,60000,2500,4.35,18685583,"1,104,045,143,300","358,186,953,000,000",16.4,5969782550
2,A373220,LG에너지솔루션,KOSPI,400000,500,0.13,146816,"58,477,354,500","93,600,000,000,000",4.29,234000000
3,A000660,SK하이닉스,KOSPI,98700,4700,5,4457208,"434,627,155,600","71,853,833,425,500",3.29,728002365
4,A207940,삼성바이오로직스,KOSPI,817000,-8000,-0.97,38951,"31,800,962,000","58,149,158,000,000",2.66,71174000
5,A005935,삼성전자우,KOSPI,54700,1200,2.24,990434,"53,483,526,900","45,011,902,490,000",2.06,822886700
6,A005380,현대차,KOSPI,183500,1000,0.55,768143,"139,615,204,000","39,208,112,314,500",1.8,213668187
7,A035420,NAVER,KOSPI,231000,-2500,-1.07,826920,"190,631,131,500","37,895,338,635,000",1.74,164049085
8,A006400,삼성SDI,KOSPI,548000,7000,1.29,229081,"125,765,404,000","37,682,962,440,000",1.73,68764530
9,A051910,LG화학,KOSPI,512000,-18000,-3.4,229151,"117,781,879,000","36,143,279,616,000",1.65,70592343
10,A000270,기아,KOSPI,79100,300,0.38,1124239,"88,257,899,500","32,064,240,747,700",1.47,405363347
11,A035720,카카오,KOSPI,70100,-2000,-2.77,1605289,"112,791,505,900","31,190,875,199,100",1.43,444948291
12,A068270,셀트리온,KOSPI,186500,-2500,-1.32,389861,"72,255,470,500","26,253,204,211,500",1.2,140767851
13,A028260,삼성물산,KOSPI,113000,0,0,253720,"28,621,644,500","21,118,240,153,000",0.97,186887081
14,A012330,현대모비스,KOSPI,211500,0,0,206303,"43,478,513,500","20,002,209,381,000",0.92,94573094
15,A005490,POSCO홀딩스,KOSPI,224000,1000,0.45,298831,"67,009,410,000","19,529,851,040,000",0.89,87186835
16,A105560,KB금융,KOSPI,44050,-1300,-2.87,2008703,"88,337,971,400","18,164,127,360,700",0.83,412352494
17,A055550,신한지주,KOSPI,33400,-600,-1.76,1783607,"59,161,739,850","17,131,999,975,400",0.78,512934131
18,A096770,SK이노베이션,KOSPI,170500,-2000,-1.16,329142,"56,263,390,000","15,765,378,662,000",0.72,92465564
19,A034730,SK,KOSPI,210500,4000,1.94,154279,"32,390,641,500","15,608,433,754,500",0.71,74149329
20,A066570,LG전자,KOSPI,90900,700,0.78,604053,"54,626,157,800","14,875,586,292,600",0.68,163647814
21,A323410,카카오뱅크,KOSPI,29900,-1000,-3.24,1227196,"36,897,854,750","14,240,844,866,300",0.65,476282437
22,A015760,한국전력,KOSPI,21500,0,0,1236752,"26,605,231,800","13,802,227,655,500",0.63,641964077
23,A003550,LG,KOSPI,75900,-100,-0.13,181131,"13,747,075,100","11,939,145,368,700",0.55,157300993
24,A017670,SK텔레콤,KOSPI,53500,-1400,-2.55,548299,"29,431,623,400","11,707,573,204,000",0.54,218833144
25,A259960,크래프톤,KOSPI,235500,-9500,-3.88,136215,"32,430,329,000","11,556,466,597,500",0.53,49072045
26,A032830,삼성생명,KOSPI,57000,-800,-1.38,255278,"14,522,852,900","11,400,000,000,000",0.52,200000000
27,A091990,셀트리온헬스케어,KOSDAQ,70500,-800,-1.12,477358,"33,654,428,600","11,149,919,392,500",0.51,158154885
28,A033780,KT&G,KOSPI,81200,200,0.25,211062,"17,084,459,400","11,148,150,756,400",0.51,137292497
29,A051900,LG생활건강,KOSPI,711000,-9000,-1.25,38351,"27,191,778,000","11,104,538,067,000",0.51,15618197
30,A034020,두산에너빌리티,KOSPI,17450,-350,-1.97,2771850,"48,213,538,300","11,049,377,063,800",0.51,633202124
31,A011200,HMM,KOSPI,22500,-1000,-4.26,3100455,"70,222,510,250","11,003,388,660,000",0.5,489039496
32,A247540,에코프로비엠,KOSDAQ,111500,-5500,-4.7,1792794,"202,757,162,100","10,904,849,856,000",0.5,97801344
33,A302440,SK바이오사이언스,KOSPI,137000,-13000,-8.67,1902745,"266,838,256,500","10,519,414,302,000",0.48,76784046
34,A009150,삼성전기,KOSPI,139000,7000,5.3,803758,"110,202,285,500","10,382,423,744,000",0.48,74693696
35,A329180,현대중공업,KOSPI,114000,-1000,-0.87,119434,"13,608,382,500","10,120,135,224,000",0.46,88773116
36,A018260,삼성에스디에스,KOSPI,130500,0,0,196314,"25,410,464,500","10,097,802,900,000",0.46,77377800
37,A086790,하나금융지주,KOSPI,33850,-950,-2.73,1829913,"61,713,466,250","10,016,332,662,600",0.46,295903476
38,A010950,S-Oil,KOSPI,88900,-1700,-1.88,232955,"20,759,776,600","10,008,610,208,800",0.46,112582792
39,A030200,KT,KOSPI,36600,-350,-0.95,920147,"33,660,498,700","9,556,692,172,800",0.44,261111808
40,A000810,삼성화재,KOSPI,195500,-1500,-0.76,77228,"15,076,123,500","9,261,780,633,500",0.42,47374837
41,A003490,대한항공,KOSPI,24350,-500,-2.01,988600,"24,220,368,100","8,966,173,095,350",0.41,368220661
42,A377300,카카오페이,KOSPI,66200,-1900,-2.79,317994,"21,219,074,200","8,773,414,504,000",0.4,132528920
43,A010130,고려아연,KOSPI,450000,-2000,-0.44,20009,"9,006,297,500","8,491,500,000,000",0.39,18870000
44,A003670,포스코케미칼,KOSPI,109000,-1000,-0.91,156374,"17,070,266,500","8,443,490,980,000",0.39,77463220
45,A011070,LG이노텍,KOSPI,341000,1500,0.44,301214,"102,581,357,500","8,070,483,487,000",0.37,23667107
46,A316140,우리금융지주,KOSPI,11000,-300,-2.65,3138758,"34,492,871,700","8,008,666,039,000",0.37,728060549
47,A036570,엔씨소프트,KOSPI,363500,-4000,-1.09,60211,"21,961,751,000","7,980,286,997,000",0.37,21954022
48,A090430,아모레퍼시픽,KOSPI,133500,-1000,-0.74,127723,"16,975,580,000","7,808,783,326,500",0.36,58492759
49,A066970,엘앤에프,KOSDAQ,207500,-5500,-2.58,484577,"101,197,717,300","7,455,395,320,000",0.34,35929616
50,A086280,현대글로비스,KOSPI,181000,-1500,-0.82,96327,"17,334,513,000","6,787,500,000,000",0.31,37500000
